"TUITIONFEE_OUT","ADM_RATE","STABBR","INSTNM","COSTT4_A","UGDS","ACTCM25","ACTCM75","SATMT25","SATMT75"
"17136","0.6538","AL","AlabamaAMUniversity","20809","4505","16","19","360","480"
"17654","0.6043","AL","UniversityofAlabamaatBirmingham","22232","11269","22","28","520","668"
"6900","NULL","AL","AmridgeUniversity","12133","308","NULL","NULL","NULL","NULL"
"20622","0.812","AL","UniversityofAlabamainHuntsville","20999","5829","24","30","550","680"
"15656","0.4639","AL","AlabamaStateUniversity","18100","4740","16","19","360","460"
"25950","0.5359","AL","TheUniversityofAlabama","27205","31005","22","31","490","610"
"7770","NULL","AL","CentralAlabamaCommunityCollege","11475","1546","NULL","NULL","NULL","NULL"
"NULL","NULL","AL","AthensStateUniversity","NULL","2904","NULL","NULL","NULL","NULL"
"20210","0.7871","AL","AuburnUniversityatMontgomery","18665","4142","19","23","470","540"
"28040","0.7766","AL","AuburnUniversity","29164","21551","24","30","540","650"
"33128","0.5306","AL","BirminghamSouthernCollege","46730","1346","23","29","500","610"
"7830","NULL","AL","ChattahoocheeValleyCommunityCollege","6920","1566","NULL","NULL","NULL","NULL"
"10320","0.4034","AL","ConcordiaCollegeAlabama","27036","379","NULL","NULL","NULL","NULL"
"16761","NULL","AL","SouthUniversityMontgomery","27628","460","NULL","NULL","NULL","NULL"
"7770","NULL","AL","EnterpriseStateCommunityCollege","9345","1528","NULL","NULL","NULL","NULL"
"7770","NULL","AL","JamesHFaulknerStateCommunityCollege","11578","4372","NULL","NULL","NULL","NULL"
"19280","0.573","AL","FaulknerUniversity","30539","2282","18","24","440","510"
"5976","NULL","AL","GadsdenStateCommunityCollege","9607","4613","NULL","NULL","NULL","NULL"
"NULL","NULL","AL","NewBeginningCollegeofCosmetology","NULL","91","NULL","NULL","NULL","NULL"
"7710","NULL","AL","GeorgeCWallaceStateCommunityCollegeDothan","8899","4173","NULL","NULL","NULL","NULL"
"7770","NULL","AL","GeorgeCWallaceStateCommunityCollegeHanceville","11483","4821","NULL","NULL","NULL","NULL"
"7470","NULL","AL","GeorgeCWallaceStateCommunityCollegeSelma","14195","1383","NULL","NULL","NULL","NULL"
"13090","0.9541","AL","HerzingUniversityBirmingham","26546","360","NULL","NULL","NULL","NULL"
"25050","0.5769","AL","HuntingdonCollege","33434","1160","19","23","450","568"
"9792","0.7","AL","HeritageChristianUniversity","19530","58","14","17","400","610"
"7740","NULL","AL","JFDrakeStateCommunityandTechnicalCollege","12168","820","NULL","NULL","NULL","NULL"
"14700","0.6665","AL","JacksonvilleStateUniversity","20030","6625","20","26","440","550"
"7478","NULL","AL","JeffersonDavisCommunityCollege","9175","1036","NULL","NULL","NULL","NULL"
"7830","NULL","AL","JeffersonStateCommunityCollege","13311","7381","NULL","NULL","NULL","NULL"
"7770","NULL","AL","JohnCCalhounStateCommunityCollege","9835","8547","NULL","NULL","NULL","NULL"
"16868","0.6292","AL","JudsonCollege","29742","373","19","25","400","660"
"7770","NULL","AL","LawsonStateCommunityCollegeBirminghamCampus","13595","3003","NULL","NULL","NULL","NULL"
"15878","0.7347","AL","UniversityofWestAlabama","17848","1913","18","21","360","560"
"7770","NULL","AL","LurleenBWallaceCommunityCollege","12603","1412","NULL","NULL","NULL","NULL"
"14778","0.5918","AL","MarionMilitaryInstitute","16328","450","19","26","500","600"
