"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Birmingham-Southern College","AL",48841,"61%-90%","33128","1346","0.5306",23,NA,29,"Full Tuition",13327.784
"Huntingdon College","AL",38585,"91%-100%","25050","1160","0.5769",19,NA,23,"Full Tuition",11731.4
"Judson College","AL",31972,"Below 10%","16868","373","0.6292",19,NA,25,"Full Tuition",13889.504
"Samford University","AL",46474,"11%-40%","28370","3145","0.933",23,NA,29,"Full Tuition",16061.36
"Spring Hill College","AL",55168,"41%-60%","34092","1347","0.4132",22,NA,27,"Full Tuition",18621.376
"Alaska Pacific University","AK",32760,"11%-40%","19610","254","0.3891",17,NA,26,"Full Tuition",11738.08
"Grand Canyon University","AZ",35870,"Below 10%","17050","42444","0.432",NA,NA,NA,"Full Tuition",17592.4
"Prescott College","AZ",40631,"11%-40%","27503","397","0.7043",19,NA,27,"Full Tuition",11147.784
"Harding University","AR",29698,"11%-40%","17805","4450","0.992",22,NA,28,"Full Tuition",10611.04
"Hendrix College","AR",60096,"61%-90%","40870","1303","0.8238",25,NA,32,"Full Tuition",16283.36
"Lyon College","AR",39120,"91%-100%","25280","675","0.5912",22,NA,27,"Full Tuition",12019.84
"Ouachita Baptist University","AR",37600,"61%-90%","24120","1471","0.6845",21,NA,28,"Full Tuition",11743.36
"University of the Ozarks","AR",38297.44,"91%-100%","24440","640","0.9677",20,NA,25,"Full Tuition",12097.76
"Azusa Pacific University","CA",52396,"Below 10%","34754","5883","0.809",21,NA,27,"Full Tuition",15139.712
"Biola University","CA",51286,"11%-40%","34498","4219","0.6985",21,NA,28,"Full Tuition",14304.144
"California Baptist University","CA",49046,"Below 10%","30384","6604","0.6541",17,NA,24,"Full Tuition",16474.352
"California College of the Arts","CA",60972.88,"11%-40%","43708","1491","0.6854",21,25,28,"Other Tuition",23972.88
"California Institute of Integral Studies","CA",NA,"",NA,NA,NA,NA,NA,NA,"",NA
"California Lutheran University","CA",59877,"11%-40%","38430","2802","0.6156",22,NA,27,"Full Tuition",18680.04
"Chapman University","CA",69464,"Below 10%","47260","6281","0.4758",25,NA,30,"Other Tuition",32464
"Concordia University","CA",42636,"Below 10%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Dominican University of California","CA",64436,"11%-40%","42550","1358","0.7883",21,NA,25,"Set Rate",27436
"Fresno Pacific University","CA",41810,"11%-40%","27954","2342","0.6313",19,NA,24,"Full Tuition",11843.312
"Loyola Marymount University","CA",65735,"Below 10%","42795","6162","0.5078",25,NA,30,"Full Tuition",19858.76
"Marymount California University","CA",54830,"Below 10%","34680","1059","NULL",NA,NA,NA,"Full Tuition",17653.04
"Mills College","CA",63767,"11%-40%","44258","852","0.7156",24,NA,30,"Full Tuition",16322.424
"Mount Saint Mary's University Los Angeles","CA",NA,"11%-40%",NA,NA,NA,18,NA,24,"Set Rate",NA
"Notre Dame de Namur University","CA",54168,"11%-40%","32608","1097","0.8667",16,NA,21,"Full Tuition",19212.224
"Occidental College","CA",71756,"Below 10%","49248","1997","0.4487",28,NA,31,"Other Tuition",34756
"Pepperdine University","CA",70862,"Below 10%","48342","3514","0.381",25,NA,30,"Other Tuition",33862
"Saint Katherine College","CA",NA,"",NA,NA,NA,NA,NA,NA,"",NA
"Saint Mary's College of California","CA",65574,"11%-40%","42930","2916","0.9754",22,NA,27,"Set Rate",28574
"San Francisco Art Institute","CA",65395,"",NA,NA,NA,NA,NA,NA,"",NA
"Santa Clara University","CA",69439,"Below 10%","45300","5344","0.488",27,NA,32,"Set Rate",32439
"Simpson University","CA",40575,"11%-40%","25200","959","0.5152",18,NA,24,"Full Tuition",13560.6
"Southwestern Law School","CA",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Set Rate",NA
"The Master's University","CA",NA,"Below 10%",NA,NA,NA,21,24,27,"Full Tuition",NA
"University of La Verne","CA",59784,"11%-40%","38560","5140","0.4718",20,NA,24,"Set Rate",22784
"University of Redlands","CA",66877,"11%-40%","44900","3452","0.6752",22,NA,28,"Set Rate",29877
"University of San Diego","CA",63380.38,"Below 10%","44586","5551","0.5168",26,NA,30,"Other Tuition",26380.38
"University of San Francisco","CA",65980,"Below 10%","42634","6682","0.6436",24,NA,28,"Set Rate",28980
"University of Southern California","CA",72277,"11%-40%","50277","18519","0.1768",30,NA,33,"Other Tuition",35277
"University of the Pacific","CA",64796,"11%-40%","42934","3720","0.6456",22,NA,29,"Other Tuition",27796
"Vanguard University","CA",47000,"11%-40%",NA,NA,NA,11,17,21,"Full Tuition",NA
"Westmont College","CA",60930,"Below 10%","41360","1296","0.8122",23,NA,29,"Full Tuition",16592.08
"Whittier College","CA",62189,"11%-40%","43280","1643","0.6262",20,NA,26,"Set Rate",25189
"Johnson & Wales University","CO",47678,"61%-90%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Regis University","CO",49942,"Below 10%","33710","4458","0.657",21,NA,27,"Full Tuition",13804.88
"Western State Colorado University","CO",23411,"11%-40%","19455","1945","0.9761",17,NA,23,"Other Tuition",-13589
"Connecticut College","CT",69440,"Below 10%","49350","1854","0.3997",28,30,31,"Set Rate",32440
"Fairfield University","CT",64325,"Below 10%","44875","3863","0.6497",25,27,29,"Other Tuition",27325
"Goodwin College","CT",34550.3,"11%-40%","19950","3333","NULL",NA,NA,NA,"Full Tuition",13163.9
"Mitchell College","CT",48892,"41%-60%","31000","659","0.737",NA,NA,NA,"Full Tuition",15660
"Quinnipiac University","CT",63770,"Below 10%","42270","6931","0.7371",22,NA,27,"Other Tuition",26770
"Sacred Heart University","CT",58440,"Below 10%","37170","5109","0.5897",10,13,21,"Other Tuition",21440
"Trinity College","CT",68753.92,"Below 10%","50776","2251","0.3341",26,NA,31,"Set Rate",31753.92
"University of Bridgeport","CT",54393,"91%-100%","30850","2897","0.5177",18,NA,23,"Full Tuition",21321.8
"University of Hartford","CT",54662,"61%-90%","36460","5028","0.6351",20,NA,25,"Full Tuition",15576.88
"University of New Haven","CT",56380,"11%-40%","35650","4942","0.8212",21,NA,26,"Set Rate",19380
"University of Saint Joseph","CT",60788,"91%-100%","36200","904","0.9268",16,NA,22,"Full Tuition",21981.6
"University of Delaware","DE",27792,"11%-40%","31420","18353","0.6659",24,NA,29,"Full Tuition",-5890.24000000001
"Wesley College","DE",40902.89,"41%-60%","25020","1496","0.6255",14,NA,19,"Full Tuition",14081.45
"Wilmington University","DE",18813.81,"41%-60%","10430","8674","NULL",NA,NA,NA,"Full Tuition",7632.85
"American University","DC",63092.55,"11%-40%","43103","7300","0.3502",26,NA,30,"Set Rate",26092.55
"Catholic University of America, The","DC",62482,"11%-40%",NA,NA,NA,22,25,28,"Other Tuition",NA
"George Washington University - DC, The","DC",70443,"11%-40%","53518",NA,NA,27,NA,32,"Other Tuition",33400
"Trinity Washington University","DC",37360,"11%-40%","22780","1565","0.9405",NA,NA,NA,"Full Tuition",12939.84
"Barry University","FL",46584,"11%-40%","28800","3703","0.5506",17,NA,21,"Full Tuition",15710.4
"Eckerd College","FL",59200,"Below 10%","40020","2002","0.7172",23,NA,28,"Full Tuition",16298.56
"Embry-Riddle Aeronautical University","FL",53542,"Below 10%",NA,NA,NA,NA,NA,NA,"",NA
"Flagler College","FL",33580,"11%-40%",NA,NA,NA,21,24,26,"Full Tuition",NA
"Florida Institute of Technology","FL",58920,"Below 10%","39290","3320","0.5736",24,NA,29,"Set Rate",21920
"Florida Southern College","FL",49900,"Below 10%","31460","2519","0.4533",24,NA,29,"Full Tuition",16174.88
