"college","cost"
"Birmingham-Southern College","$48,841"
"Huntingdon College","$38,585"
"Judson College","$31,972"
"Samford University","$46,474"
"Spring Hill College","$55,168"
"Alaska Pacific University","$32,760"
"Grand Canyon University","$35,870"
"Prescott College","$40,631"
"Harding University","$29,698"
"Hendrix College","$60,096"
"Lyon College","$39,120"
"Ouachita Baptist University","$37,600"
"University of the Ozarks","$31,050"
"Azusa Pacific University","$52,396"
"Biola University","$51,286"
"California Baptist University","$49,046"
"California College of the Arts","0"
"California Institute of Integral Studies","0"
"California Lutheran University","$59,877"
"Chapman University","$69,464"
"Concordia University","$42,636"
"Dominican University of California","$64,436"
"Fresno Pacific University","$41,810"
"Loyola Marymount University","$65,735"
"Marymount California University","$54,830"
"Mills College","$63,767"
"Mount Saint Mary's University Los Angeles","0"
"Notre Dame de Namur University","$54,168"
"Occidental College","$71,756"
"Pepperdine University","$70,862"
"Saint Katherine College","0"
"Saint Mary's College of California","$65,574"
"San Francisco Art Institute","$65,395"
"Santa Clara University","$69,439"
"Simpson University","$40,575"
"Southwestern Law School","0"
"The Master's University","0"
"University of La Verne","$59,784"
"University of Redlands","$66,877"
"University of San Diego","$31,567"
"University of San Francisco","$65,980"
"University of Southern California","$72,277"
"University of the Pacific","$64,796"
"Vanguard University","$47,000"
"Westmont College","$60,930"
"Whittier College","$62,189"
"Johnson & Wales University","$47,678"
"Regis University","$49,942"
"Western State Colorado University","$23,411"
"Connecticut College","$69,440"
"Fairfield University","$64,325"
"Goodwin College","0"
"Mitchell College","$48,892"
"Quinnipiac University","$63,770"
"Sacred Heart University","$58,440"
"Trinity College","$22,052"
"University of Bridgeport","$54,393"
"University of Hartford","$54,662"
"University of New Haven","$56,380"
"University of Saint Joseph","$60,788"
"University of Delaware","$27,792"
"Wesley College","$12,542"
"Wilmington University","0"
"American University","$51,763"
"Catholic University of America, The","$62,482"
"George Washington University, The","$70,443"
"Trinity Washington University","$37,360"
"Barry University","$46,584"
"Eckerd College","$59,200"
"Embry-Riddle Aeronautical University","$53,542"
"Flagler College","$33,580"
"Florida Institute of Technology","$58,920"
"Florida Southern College","$49,900"
"Jacksonville University","$23,607"
"Johnson & Wales University","$47,678"
"Lynn University- FL","0"
"New College of Florida","$20,650"
